"PK_INVENTAR";"INVENTAR";"ANSCHAFFUNGSDATUM";"ANSCHAFFUNGSJAHR";"ABSCHREIBUNGSDAUER";"RESTBUCHWERT_2018";"CREATED_BY";"CREATED_AT";"MODIFIED_BY";"MODIFIED_AT";"PREIS_NETTO";"MWST";"FK_STEUERSATZ";"PREIS_BRUTTO";"COMM";"LIZENZNUMMER";"ANFORDERUNGSCODE";"FK_INVENTARTYP";"KFZ_KENNZEICHEN";"FAHRGESTELLNR";"BEMERKUNGEN";"BILD";"ABGANGSJAHR";"ABGANGSDATUM";"ABGANGSWERT";"FK_VERWENDUNGSZWECK";"GWG";"RESTBUCHWERT_2017";"ABGANGSGRUND";"MAC_ADRESSE";"SERIENNUMMER";"GERÄTENAME";"OK";"OK_BEMERKUNGEN";"RESTBUCHWERT_2019";"INV_BILD";"INVENTARTYP";"PK_IMP_BA_ELEKTRONIK";"BEZEICHNUNG";"GWG_YN";"BEL_OLD_ART";"BEL_OLD_FK_IMP_BA_BEL";"BEL_OLD_PK_IMP_BA_ALLG_BEL";"BEL_OLD_BEZEICHNUNG";"BEL_OLD_KENNZEICHEN";"BEL_OLD_DATUM";"BEL_OLD_DATUM_VERGEHEN";"BEL_OLD_FK_ARBEITSTAG";"BEL_OLD_FK_BUCHUNG";"BEL_OLD_BETRAG";"BEL_OLD_WÄHRUNG";"BEL_OLD_STEUERSATZ";"BEL_OLD_MWST_BETRAG";"BEL_OLD_NETTO";"BEL_OLD_ZAHLUNGSART";"BEL_OLD_BILD";"BEL_OLD_BILD1";"BEL_OLD_VERWENDUNGSZWECK";"BEL_OLD_FK_INVENTAR";"BEL_OLD_FK_PROJEKT";"BEL_OLD_WÄHRUNG_BETRAG";"BEL_OLD_FK_KATEGORIE";"BEL_OLD_KATEGORIE";"BEL_OLD_PROJEKT";"BEL_OLD_INVENTAR";"BEL_OLD_FK_BELEG_ABLAGE"
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";809;10;"Holzkirchen SŸd J+L Nussbaum OHG, RaststŠtte BAB 8, 83607 Holzkirchen Oberbayern";"M-RO 2947";"03.08.2018 11:04";"";;974;"89,99";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";810;11;"Atu, Triebstrasse 39, 80993 MŸnchen";"M-ZO 523";"06.07.2018 10:46";"";;;"71,24";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";811;12;"Atu, Triebstrasse 39, 80993 MŸnchen";"M-ZO 523";"06.07.2018 11:54";"";;;"410,59";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";812;13;"Reifen-Center GmbH K&K, Weidachstr. 8, 85609 Aschheim";"M-ZO 523";"06.07.2018 00:00";"";;612;"242";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";813;14;"Reifen-Center GmbH K&K, Weidachstr. 8, 85609 Aschheim";"M-ZO 523";"06.07.2018 00:00";"";;611;"302";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";815;15;"Ikea Brunnthaler Str. 1, 82024 Taufkirchen";"M-RO 2947";"11.08.2018";"";;962;"131,96";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"Einrichtung Bus";17;;"";;"";"";"Renault Master - Weiß ";"2018 / Ordner 1 / Seite 15"
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";816;16;"Conrad, Hanauer Str. 91, 80993 MŸnchen";"M-RO 2947";"09.08.2018 11:36";"";;;"40,97";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"Einrichtung Bus, Elektro";17;;"";;"";"";"Renault Master - Weiß ";"2018 / Ordner 1 / Seite 1"
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";817;17;"Hagebaumarkt M-Nord,Lerchenauer STr. 134, 80809 MŸnchen";"M-RO 2947";"01.08.2018 15:28";"";;983;"223,93";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"Einrichtung Bus, Boden";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1478;18;"ATU Permoser Str. 90, 85057 Ingolstadt";"M-ZO 523";"05.10.2017 11:12";"";;;"522,03";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1479;19;"ATU Permoser Str. 90, 85057 Ingolstadt";"M-ZO 523";"10.10.2017 15:32";"";;;"579,54";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
