"PK_INVENTAR";"INVENTAR";"ANSCHAFFUNGSDATUM";"ANSCHAFFUNGSJAHR";"ABSCHREIBUNGSDAUER";"RESTBUCHWERT_2018";"CREATED_BY";"CREATED_AT";"MODIFIED_BY";"MODIFIED_AT";"PREIS_NETTO";"MWST";"FK_STEUERSATZ";"PREIS_BRUTTO";"COMM";"LIZENZNUMMER";"ANFORDERUNGSCODE";"FK_INVENTARTYP";"KFZ_KENNZEICHEN";"FAHRGESTELLNR";"BEMERKUNGEN";"BILD";"ABGANGSJAHR";"ABGANGSDATUM";"ABGANGSWERT";"FK_VERWENDUNGSZWECK";"GWG";"RESTBUCHWERT_2017";"ABGANGSGRUND";"MAC_ADRESSE";"SERIENNUMMER";"GERÄTENAME";"OK";"OK_BEMERKUNGEN";"RESTBUCHWERT_2019";"INV_BILD";"INVENTARTYP";"PK_IMP_BA_ELEKTRONIK";"BEZEICHNUNG";"GWG_YN";"BEL_OLD_ART";"BEL_OLD_FK_IMP_BA_BEL";"BEL_OLD_PK_IMP_BA_ALLG_BEL";"BEL_OLD_BEZEICHNUNG";"BEL_OLD_KENNZEICHEN";"BEL_OLD_DATUM";"BEL_OLD_DATUM_VERGEHEN";"BEL_OLD_FK_ARBEITSTAG";"BEL_OLD_FK_BUCHUNG";"BEL_OLD_BETRAG";"BEL_OLD_WÄHRUNG";"BEL_OLD_STEUERSATZ";"BEL_OLD_MWST_BETRAG";"BEL_OLD_NETTO";"BEL_OLD_ZAHLUNGSART";"BEL_OLD_BILD";"BEL_OLD_BILD1";"BEL_OLD_VERWENDUNGSZWECK";"BEL_OLD_FK_INVENTAR";"BEL_OLD_FK_PROJEKT";"BEL_OLD_WÄHRUNG_BETRAG";"BEL_OLD_FK_KATEGORIE";"BEL_OLD_KATEGORIE";"BEL_OLD_PROJEKT";"BEL_OLD_INVENTAR";"BEL_OLD_FK_BELEG_ABLAGE"
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"GRENZBELEGE";1510;6;"Zorunlu Mali Sorumluluk sigortasi Policesi, Alamanya lalapasa Erdine, Türkei";"";"02.11.2018";"";;;"0";"";"";"";"";"";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"KFZ_VERSICHERUNGEN";913;1;"HUK-Coburg";"";"16.08.2018";"";;;"730,28";"";"";"";"";"";(BLOB);(BLOB);"";17;;"EU";;"";"";"Renault Master - Weiß ";""
16;"Audi A4";29.08.18 16:33:06,000000000;2018;;;"";;"";;;;;24000;"";"";"";2;"M-R7408";"";"Zulassungsbescheinigung: M-K-O-241/18-00132
Erstzulassung: 10.11.2016
Schlüsselnr: 0588
WAUZZZF43HA08673
Zulassung: 29.08.2018
BFUOO312-4
EURO6";"";9999;31.12.99 06:33:05,158000000;;2;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"KFZ_VERSICHERUNGEN";914;2;"HUK-Coburg";"";"13.08.2018";"";;;"372,21";"";"";"";"";"";(BLOB);(BLOB);"";16;;"EU";;"";"";"Audi A4";""
16;"Audi A4";29.08.18 16:33:06,000000000;2018;;;"";;"";;;;;24000;"";"";"";2;"M-R7408";"";"Zulassungsbescheinigung: M-K-O-241/18-00132
Erstzulassung: 10.11.2016
Schlüsselnr: 0588
WAUZZZF43HA08673
Zulassung: 29.08.2018
BFUOO312-4
EURO6";"";9999;31.12.99 06:33:05,158000000;;2;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"KFZ_VERSICHERUNGEN";917;5;"Kraftfahrzeugsteuer";"";"29.08.2018";"";;;"0";"";"";"";"";"";(BLOB);(BLOB);"";16;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"KFZ_VERSICHERUNGEN";918;6;"Kraftfahrzeugsteuer";"";"30.07.2018";"";;;"0";"";"";"";"";"";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"KFZ_VERSICHERUNGEN";919;7;"Kraftfahrzeugsteuer";"";"02.12.2017";"";592;;"0";"";"";"";"";"";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1717;137;"Parkhaus Niddastra§e 107, 60329 Frankfurt, Parkhaus Hauptbahnhof SŸd";"";"22.05.2018 08:50 22.05.2018 11:05";"";;;"6";"";"2,64505E+14";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1719;139;"Parkhaus Niddastra§e 107, 60329 Frankfurt, Parkhaus Hauptbahnhof SŸd";"";"04.06.2018 09:24 04.06.2018 18:26";"";;;"18";"";"2,64505E+14";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1720;140;"Parkhaus Niddastra§e 107, 60329 Frankfurt, Parkhaus Hauptbahnhof SŸd";"";"16.05.2018 07:52 16.05.2018 18:25";"";;;"22";"";"2,64505E+14";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1721;141;"Parkhaus Niddastra§e 107, 60329 Frankfurt, Parkhaus Untermainanlage";"";"10.03.2018 15:53 16.03.2018 07:25";"";;;"132";"";"2,64505E+14";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1722;142;"Fraport AG, Frankfurt Flughafen";"";"02.07.2018 18:10 03.07.2018 10:57";"";;;"22";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1723;143;"Parkhaus Westend 1, Savingnystr. / Westendstr. 1, 60325 Frankfurt";"";"16.03.2018 08:25 16.03.2018 18:45";"";;;"16,5";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1724;144;"Parkschein Parna§stra§e, Wedel";"";"27.06.2018 18:53 27.06.2018 19:53";"";;;"1";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"privat";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1725;145;"ZH 144, Hardstrasse 144, ZŸrich, Schweiz";"";"01.06.2018 10:59 01.06.2018 11:59";"";;;"3";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"privat";5;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1726;146;"Aarhus Off, Betalingspladser, Terminal 4, DŠnemark";"";"15.10.2018 17:07 15.10.2018 19:35";"";;1313;"28";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"privat";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1727;147;"Parkhaus Dom Ršmer, Konrad-Adenauer-Strasse 15, 60313 Frankfurt";"";"20.04.2018 17:50 20.04.2018 21:58";"";;;"8";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1728;148;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"06.06.2018 05:55 06.06.2018 20:31";"";;;"27";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1729;149;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"27.04.2018 07:37 27.04.2018 17:33";"";;108;"24";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1730;150;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"13.06.2018 10:07 13.06.2018 19:38";"";;19;"24";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1731;151;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"07.06.2018 09:43 07.06.2018 19:47";"";;;"27";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1732;152;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"11.06.2018 08:44 11.06.2018 18:22";"";;19;"24";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1733;153;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"12.06.2018 09:47 12.06.2018 19:08";"";;96;"24";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1734;154;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"03.05.2018 08:08 03.05.2018 18:33";"";;231;"27";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1735;155;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"15.06.2018 09:52 15.06.2018 19:29";"";;95;"24";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1736;156;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"14.06.2018 07:21 14.06.2018 10:20";"";;94;"3,5";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1737;157;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"18.05.2018 09:22 18.05.2018 18:27";"";;197;"24";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1738;158;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"13.04.2018 08:15 13.04.2018 18:01";"";;;"24";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1739;159;"Parkhaus Westend 1, Savingnystr. / Westendstr. 1, 60325 Frankfurt";"";"03.04.2018 19:31 06.04.2018 06:53";"";;;"45";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1740;160;"Rheinufer ";"";"19.06.2018 17:48 19.06.2018 18:42";"";;;"0,4";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"privat";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1741;161;"Pollux GmbH, Skyline Plaza, Europa Allee 6, 60327 Frankfurt";"";"29.03.2018 16:25 29.03.2018 18:23";"";;173;"1,5";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"privat";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1742;162;"Parkhaus Niddastr. 107, Frankfurt, Main, Parkhaus Hauptbahnhof SŸd";"";"02.07.2018 12:12 02.07.2018 15:10";"";;;"6";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1743;163;"Flughafen Bremen GmbH";"";"14.09.2018 11:17 14.09.2018 12:17";"";;;"4";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";17;21;"";;"";"MRU-Projekt Bremen";"Renault Master - Weiß ";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1744;164;"Flughafen Bremen GmbH";"";"12.09.2018 08:31 12.09.2018 09:31";"";;;"4";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";17;21;"";;"";"MRU-Projekt Bremen";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1745;165;"Parken Westhafen Pier, Frankfurt am Main";"";"16.11.2017 08:41 ";"";;;"0";"";"";"";"";"";(BLOB);(BLOB);"";5;3;"";;"";"DPLC - Commerzbank";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1746;166;"Apcoa Parking, Stuttgart Airport?";"";"23.11.2017 12:54 23.11.2017 14:22";"";327;;"7";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1747;352;"Tiefgarage am Stachus, Contipark International Parking GmbH, Herzog-Wilhelm-Str. 11, 80335 München";"";"02.02.2018 20:10 02.02.2018 23:00";"";;299;"8";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"geschäftlich";5;;"";;"";"";"Audi A4";"2018 / Ordner 1 / Seite 3"
16;"Audi A4";29.08.18 16:33:06,000000000;2018;;;"";;"";;;;;24000;"";"";"";2;"M-R7408";"";"Zulassungsbescheinigung: M-K-O-241/18-00132
Erstzulassung: 10.11.2016
Schlüsselnr: 0588
WAUZZZF43HA08673
Zulassung: 29.08.2018
BFUOO312-4
EURO6";"";9999;31.12.99 06:33:05,158000000;;2;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1748;354;"Pollux GmbH, OEZ München, Hanauer Str., 80993 München";"";"19.11.2018 07:51 19.11.2018 18:49";"";;;"5";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";16;41;"";;"";"Telefónica - PI Mapping-Tool";"Audi A4";"2018 / Ordner 1 / Seite 4"
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1749;358;"Apcoa Parking, Parkgarage Hofbräukeller 81667 München";"";"05.03.2018 11:23 05.03.2018 13:35";"";;;"9";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";5;;"";;"";"";"Audi A4";"2018 / Ordner 1 / Seite 5"
16;"Audi A4";29.08.18 16:33:06,000000000;2018;;;"";;"";;;;;24000;"";"";"";2;"M-R7408";"";"Zulassungsbescheinigung: M-K-O-241/18-00132
Erstzulassung: 10.11.2016
Schlüsselnr: 0588
WAUZZZF43HA08673
Zulassung: 29.08.2018
BFUOO312-4
EURO6";"";9999;31.12.99 06:33:05,158000000;;2;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1750;355;"Apcoa Parking, Parkgarage Hofbräukeller 81667 München";"";"13.11.2018 11:05 13.11.2018 15:38";"";;;"15";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";16;;"";;"";"";"Audi A4";"2018 / Ordner 1 / Seite 4"
16;"Audi A4";29.08.18 16:33:06,000000000;2018;;;"";;"";;;;;24000;"";"";"";2;"M-R7408";"";"Zulassungsbescheinigung: M-K-O-241/18-00132
Erstzulassung: 10.11.2016
Schlüsselnr: 0588
WAUZZZF43HA08673
Zulassung: 29.08.2018
BFUOO312-4
EURO6";"";9999;31.12.99 06:33:05,158000000;;2;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1751;356;"Olympia Einkaufszentrum, Hanauer Str. 68, 80993 München";"";"20.11.2018 08:18 20.11.2018 20:12";"";;;"5";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"geschäftlich";16;41;"";;"";"Telefónica - PI Mapping-Tool";"Audi A4";"2018 / Ordner 1 / Seite 3"
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"PARKTICKETS";1753;359;"Kirchenstraße, Belfortstraße 3, München";"";"09.07.2018 12:17 09.07.2018 14:17";"";;;"2";"";"";"";"";"Barzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
